date_game,date,time,home,away,score1,score2,set1p1,set1p2,set2p1,set2p2,set3p1,set3p2,set4p1,set4p2,set5p1,set5p2,win,pr_home,pr_away,elo_home,elo_away
2021-11-09,2021-11-09 04:44:00,04:44,Балакин Д,Минков М,1,3,8,11,6,11,12,10,7,11,0,0,0,0.5128819886930347,0.4871180113069653,995.2790884087008,995.762813065772
2021-11-09,2021-11-09 04:47:00,04:47,Петров А,Саянов Д,3,0,11,3,11,8,12,10,0,0,0,0,1,0.512720559892291,0.48727944010770896,1004.2426053966611,986.4356055606423
2021-11-09,2021-11-09 05:00:00,05:00,Павленко Р,Журба Н,3,1,11,6,11,3,8,11,11,8,0,0,1,0.49303138349073994,0.5069686165092601,1008.9614026615809,1004.4757844013283
2021-11-09,2021-11-09 05:14:00,05:14,Меркушин Ю,Цицельский А,2,3,9,11,11,8,5,11,11,8,9,11,0,0.5003504765487309,0.4996495234512691,1004.657654510441,1013.6205671892111
2021-11-09,2021-11-09 05:15:00,05:15,Ильин А,Ширшов В,3,0,15,13,12,10,11,6,0,0,0,0,1,0.5067027006658685,0.49329729933413147,1018.2158360149235,1004.4813732237476
2021-11-09,2021-11-09 07:31:00,07:31,Сергеевич И,Белугин О,3,1,11,7,8,11,11,3,11,9,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 07:45:00,07:45,Гуров А,Селькин В,1,3,11,7,4,11,3,11,5,11,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 07:49:00,07:49,Новиков И,Журба Н,2,3,11,7,11,9,3,11,8,11,5,11,0,0.4935591847644913,0.5064408152355087,995.4592555001667,1009.0165289011616
2021-11-09,2021-11-09 08:00:00,08:00,Овечкин С,Климентьев В,3,2,14,12,8,11,9,11,11,8,11,9,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 08:16:00,08:16,Лобанов М,Духин М,1,3,11,9,11,13,4,11,1,11,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 08:18:00,08:18,Минченков И,Павленко Р,0,3,10,12,9,11,9,11,0,0,0,0,0,0.4871063640457429,0.5128936359542571,995.5186214507792,1013.4427812108017
2021-11-09,2021-11-09 08:34:00,08:34,Белугин О,Овечкин С,3,1,9,11,11,6,11,9,11,5,0,0,1,0.4867632293394211,0.5132367706605789,1000.1217782900773,999.8782217099227
2021-11-09,2021-11-09 08:45:00,08:45,Селькин В,Лобанов М,3,0,11,9,11,6,11,9,0,0,0,0,1,0.5132367706605789,0.48676322933942107,1009.0782217099227,990.9217782900773
2021-11-09,2021-11-09 08:46:00,08:46,Журба Н,Минченков И,1,3,4,11,9,11,11,8,11,13,0,0,0,0.5194152832586915,0.48058471674130854,1004.2379082951816,1000.2972420567592
2021-11-09,2021-11-09 09:00:00,09:00,Климентьев В,Сергеевич И,0,3,9,11,9,11,7,11,0,0,0,0,0,0.4867632293394211,0.5132367706605789,990.9217782900773,1009.0782217099227
2021-11-09,2021-11-09 09:15:00,09:15,Духин М,Гуров А,3,0,11,7,11,7,11,1,0,0,0,0,1,0.5132367706605789,0.48676322933942107,1009.0782217099227,990.9217782900773
2021-11-09,2021-11-09 09:17:00,09:17,Павленко Р,Новиков И,3,1,7,11,11,8,12,10,11,5,0,0,1,0.5258572859466686,0.4741427140533314,1017.8048941800923,991.0971425308761
2021-11-09,2021-11-09 09:31:00,09:31,Сергеевич И,Овечкин С,3,2,8,11,11,5,8,11,11,6,11,6,1,0.5132367706605788,0.4867632293394212,1013.5564434198453,995.4000000000001
2021-11-09,2021-11-09 09:45:00,09:45,Гуров А,Лобанов М,2,3,11,5,11,8,8,11,9,11,5,11,0,0.5,0.5,986.3217782900773,995.5217782900773
2021-11-09,2021-11-09 09:46:00,09:46,Новиков И,Минченков И,3,2,13,11,10,12,12,10,6,11,11,5,1,0.4867630862105451,0.5132369137894549,995.8189221377392,995.5754624498961
2021-11-09,2021-11-09 10:05:00,10:05,Белугин О,Климентьев В,2,3,9,11,10,12,12,10,11,9,2,11,0,0.5132367706605788,0.4867632293394212,995.4,995.6435565801546
2021-11-09,2021-11-09 10:16:00,10:16,Селькин В,Духин М,2,3,2,11,18,16,11,4,6,11,9,11,0,0.5,0.5,1004.4782217099227,1013.6782217099227
2021-11-09,2021-11-09 10:18:00,10:18,Журба Н,Павленко Р,3,0,11,5,11,4,11,8,0,0,0,0,1,0.48048545554494343,0.5195145444550566,1009.0174421041681,1013.0253603711058
2021-11-09,2021-11-09 10:41:00,10:41,Овечкин С,Климентьев В,3,2,11,9,8,11,11,6,9,11,11,5,1,0.4996494939631872,0.5003505060368127,1000.0032246555388,991.0403319246159
2021-11-09,2021-11-09 10:46:00,10:46,Новиков И,Минченков И,3,1,11,7,11,5,11,13,11,8,0,0,1,0.5003503665976362,0.4996496334023638,1000.4156987650409,990.9786858225943
2021-11-09,2021-11-09 10:48:00,10:48,Лобанов М,Гуров А,0,3,8,11,6,11,9,11,0,0,0,0,0,0.5132367706605789,0.48676322933942107,990.8000000000001,991.0435565801546
2021-11-09,2021-11-09 11:11:00,11:11,Сергеевич И,Белугин О,0,3,9,11,10,12,6,11,0,0,0,0,0,0.52610546260587,0.47389453739413,1008.7162731638713,1000.240170255974
2021-11-09,2021-11-09 11:15:00,11:15,Духин М,Селькин В,3,2,5,11,8,11,11,3,11,3,12,10,1,0.5132367706605789,0.48676322933942107,1018.1564434198453,1000.0
2021-11-09,2021-11-09 11:16:00,11:16,Журба Н,Павленко Р,3,2,6,11,11,5,7,11,11,7,11,5,1,0.49423239779999817,0.5057676022000018,1013.6705040444082,1008.3722984308657
2021-11-09,2021-11-09 11:34:00,11:34,Козлов А,Ильичев М,0,3,7,11,5,11,9,11,0,0,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 11:47:00,11:47,Симонов К,Овечкин С,1,3,13,11,9,11,5,11,9,11,0,0,0,0.49999535934764155,0.5000046406523584,995.4000426940017,1004.6031819615371
2021-11-09,2021-11-09 11:47:00,11:47,Богданов Д,Пандур И,3,1,11,6,11,6,12,14,11,5,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 12:01:00,12:01,Троянов Я,Семешин П,1,3,7,11,10,12,11,9,9,11,0,0,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 12:15:00,12:15,Беспалов Н,Мануйлов О,2,3,6,11,11,4,11,6,6,11,7,11,0,0.5,0.5,995.4,1004.6
2021-11-09,2021-11-09 12:15:00,12:15,Зирин А,Чернов В,3,1,11,9,18,16,5,11,11,5,0,0,1,0.5,0.5,1004.6,995.4
2021-11-09,2021-11-09 12:31:00,12:31,Ильичев М,Троянов Я,1,3,11,8,5,11,7,11,9,11,0,0,0,0.5132367706605789,0.48676322933942107,999.8782217099227,1000.1217782900773
2021-11-09,2021-11-09 12:46:00,12:46,Овечкин С,Беспалов Н,3,0,12,10,11,9,11,7,0,0,0,0,1,0.5132413466608878,0.48675865333911217,1009.0813615722569,990.9218203892801
2021-11-09,2021-11-09 12:47:00,12:47,Пандур И,Зирин А,3,0,15,13,11,7,11,7,0,0,0,0,1,0.4867632293394211,0.5132367706605789,1000.1217782900773,999.8782217099227
2021-11-09,2021-11-09 13:03:00,13:03,Семешин П,Козлов А,3,2,6,11,11,7,11,9,9,11,11,5,1,0.5132367706605789,0.48676322933942107,1009.0782217099227,990.9217782900773
2021-11-09,2021-11-09 13:15:00,13:15,Чернов В,Богданов Д,2,3,11,5,9,11,4,11,11,9,11,13,0,0.4867632293394211,0.5132367706605789,990.9217782900773,1009.0782217099227
2021-11-09,2021-11-09 13:15:00,13:15,Мануйлов О,Симонов К,2,3,11,13,11,6,11,8,11,13,17,19,0,0.5132367092620325,0.48676329073796754,999.8782222747893,1000.1218204192124
2021-11-09,2021-11-09 13:32:00,13:32,Козлов А,Троянов Я,3,2,11,6,8,11,11,7,7,11,11,7,1,0.48676322933942134,0.5132367706605787,995.6435565801546,995.4
2021-11-09,2021-11-09 13:56:00,13:56,Богданов Д,Зирин А,0,3,10,12,6,11,10,12,0,0,0,0,0,0.5132367706605788,0.4867632293394212,1004.3564434198454,1004.6
2021-11-09,2021-11-09 14:01:00,14:01,Симонов К,Беспалов Н,3,0,11,9,11,3,11,8,0,0,0,0,1,0.5132367707036247,0.4867632292963753,1004.6000421287391,986.4435986797534
2021-11-09,2021-11-09 14:02:00,14:02,Ильичев М,Семешин П,3,1,11,4,11,6,10,12,11,9,0,0,1,0.48676322933942134,0.5132367706605787,1004.6,1004.3564434198454
2021-11-09,2021-11-09 14:16:00,14:16,Пандур И,Чернов В,3,0,11,8,16,14,11,7,0,0,0,0,1,0.5132367706605788,0.4867632293394212,1004.5999999999999,986.4435565801547
2021-11-09,2021-11-09 14:20:00,14:20,Овечкин С,Мануйлов О,3,0,11,7,11,7,11,5,0,0,0,0,1,0.5132412853054169,0.4867587146945831,1013.559541747447,995.4000420995992
2021-11-09,2021-11-09 14:31:00,14:31,Троянов Я,Козлов А,2,3,8,11,11,13,11,6,11,8,8,11,0,0.4996494939631871,0.500350506036813,990.8032246555387,1000.2403319246159
2021-11-09,2021-11-09 14:45:00,14:45,Богданов Д,Чернов В,3,0,11,8,11,8,11,6,0,0,0,0,1,0.5257558992475628,0.47424410075243717,1008.7194891467678,982.0805108532322
2021-11-09,2021-11-09 14:47:00,14:47,Мануйлов О,Беспалов Н,3,1,8,11,11,5,11,6,11,7,0,0,1,0.5128865037750099,0.4871134962249901,999.8814862648691,981.9621545144836
2021-11-09,2021-11-09 15:02:00,15:02,Ильичев М,Семешин П,0,3,12,14,6,11,8,11,0,0,0,0,0,0.500350506036813,0.49964949396318703,999.9967753444613,1008.9596680753841
2021-11-09,2021-11-09 15:16:00,15:16,Овечкин С,Симонов К,1,3,11,8,6,11,8,11,12,14,0,0,0,0.5128908990762157,0.48710910092378434,1008.8409454759459,1009.3186384002403
2021-11-09,2021-11-09 15:16:00,15:16,Пандур И,Зирин А,3,2,8,11,11,7,6,11,13,11,15,13,1,0.4999999999999998,0.5000000000000002,1009.1999999999999,1000.0
2021-11-09,2021-11-09 15:34:00,15:34,Гусев М,Кольмин А,3,0,11,4,11,5,11,9,0,0,0,0,1,0.5,0.5,1004.6,995.4
